date,long_realized_pnl,long_unrealized_pnl,short_realized_pnl,short_unrealized_pnl,gross_realized_pnl,gross_unrealized_pnl,other_fees,borrow_fees,short_credit_interest,excluded_cash_interest_base,dividends,withholding_tax,pil_dividends,bond_interest,strategy_total_pnl
2026-05-06,20044.970448660017,180297.69024299996,3971.6504854600034,-132939.07125699995,24016.620934119997,47358.618986,-0.25,-15240.18,4760.93,-9846.517540700002,616.65,-7.89,-28746.3,0.0,32758.19992012001
2026-05-07,20719.89156017002,261879.30339499997,4142.0168369400035,-212789.54609699995,24861.908397109997,49089.75729799998,-0.25,-15597.650000000001,4760.93,-9846.517540700002,635.6600000000001,-10.74,-28746.309999999998,0.0,34993.30569511
2026-05-08,20719.89156017002,197030.27339500008,4142.016836940004,-144007.08610400002,24861.908397109997,53023.18729100001,-0.25,-15963.7,4760.93,-9846.517540700002,635.6600000000001,-10.74,-28752.659999999996,0.0,38554.335688109975
2026-05-09,20719.89156017,241556.55251500016,4142.016836940004,-185109.255207,24861.908397109997,56447.29730799998,-0.25,-16359.400000000001,4760.930000000001,-9846.517540700002,635.66,-10.74,-28767.510000000002,0.0,41567.895705109986
2026-05-12,20719.891561039956,308945.5133950006,4142.016836940004,-250977.826097,24861.908397979998,57967.687297999975,-0.25,-17465.559999999998,4760.929999999999,-9846.517540700002,635.66,-10.74,-28767.510000000002,0.0,41982.12569598004
2026-05-13,20719.891561040007,255197.74339499994,4142.016836940005,-191005.67609900003,24861.908397979998,64192.067295999994,-0.25,-17859.079999999998,4760.930000000001,-9846.517540700002,634.08,-10.74,-31866.66,0.0,44712.25569398
2026-05-14,20719.89156104003,270230.5233950002,4142.016836940004,-207420.02610199992,24861.908397979994,62810.49729299999,-1.82,-18280.11,4760.93,-9846.517540700002,648.25,-15.7,-31866.66,0.0,42917.29569097998
2026-05-15,91067.66024847995,237722.5193410002,-1995.883040859997,-234228.14941199994,89071.77720762,3494.3699289999786,-1.82,-18677.88,4760.929999999999,-9846.517540700002,664.99,-15.7,-32065.719999999998,0.0,47230.94713662
2026-05-16,135731.57494075995,128739.46562999996,-144486.41399417003,-9009.466831000027,-8754.839053409989,119729.998799,-1.82,-19081.25,4760.929999999999,-9846.517540700002,664.99,-15.7,-32081.77,0.0,65220.53974559007
2026-05-18,135731.57494075995,128739.46562999998,-144486.41399417003,-9009.466831000027,-8754.839053409989,119729.998799,-1.82,-19081.25,4760.929999999999,-9846.517540700002,664.99,-15.7,-32081.77,0.0,65220.53974559001
2026-05-19,139069.62197111003,81245.67740900004,-140783.57853448,27112.13808900003,-1713.9565633699822,108357.815498,-1.82,-20931.74,4760.93,-9846.517540700002,664.99,-15.7,-32081.77,0.0,59038.748934629984
2026-05-20,139069.62197110997,58256.20741099994,-140783.57853448,48857.10808799985,-1713.9565633700113,107113.31549899999,-1.82,-21466.890000000003,4760.93,-9846.517540700002,677.73,-15.7,-38203.560000000005,0.0,51150.04893563001
2026-05-21,148272.41644620002,110419.54279700002,-138754.72182835,-5696.058289000104,9517.694617850022,104723.484508,-1.82,-22138.18,4760.93,-9846.517540700002,677.7299999999999,-15.7,-38203.56,0.0,59320.579125850025
2026-05-22,190585.45160515993,150740.83285399995,-179679.49930745998,-33792.082590000005,10905.952297699987,116948.75026399999,-1.82,-22736.84,4760.93,-9846.517540700002,677.73,-15.7,-38212.93,0.0,72326.07256170001
2026-05-23,190366.76842933998,168893.31337900003,-176054.29212343003,-36906.806367000056,14312.476305910008,131986.50701200002,-1.82,-23526.98,4760.93,-9846.517540700002,677.73,-15.7,-38212.93,0.0,89980.21331790995
2026-05-25,190366.76842933998,168893.31337899997,-176054.29212343003,-36906.806367000056,14312.476305910008,131986.50701200002,-1.82,-23526.98,4760.93,-9846.517540700002,677.73,-15.7,-38212.93,0.0,89980.21331790995
2026-05-26,190366.76842933998,168893.78587900003,-176054.29212343003,-36906.806367000085,14312.476305910008,131986.979512,-1.82,-23526.98,4760.93,-9846.517540700002,677.73,-15.7,-38212.93,0.0,89980.68581790998
2026-05-27,190517.04780933989,209984.77270300008,-175874.48117960003,-76760.06250899998,14642.566629740002,133224.710194,-1.82,-26502.26,4760.93,-9846.517540700002,677.73,-15.7,-38212.93,0.0,88573.22682374
2026-05-28,191055.7638189099,223778.41975500036,-173807.93606218003,-91717.73508500005,17247.827756729996,132060.68467,-1.82,-27351.18,4760.929999999999,-9846.517540700002,677.73,-15.7,-51986.6,0.0,75391.87242673006
2026-05-29,247762.77200299024,210363.68904600028,-241060.97971294,-60536.41283499998,6701.792290050071,149827.276211,-1.82,-28226.35,4760.93,-9846.517540700002,677.73,-15.7,-51986.59999999999,0.0,81737.25850105006
2026-05-30,250147.75781089015,217527.82488600013,-229312.63560741997,-60448.955943000256,20835.122203470033,157078.86894299998,-1.82,-29130.74,4760.930000000001,-9846.517540700002,677.73,-15.7,-51986.59999999999,0.0,102217.79114647006
2026-06-01,250147.7578108901,217527.8248860001,-229312.63560741997,-60448.95594300023,20835.122203469975,157078.868943,-1.82,-29130.74,4760.930000000001,-9846.517540700002,677.73,-15.7,-51986.59999999999,0.0,102217.79114647
