ETF,Underlying,Beta,Beta_n_obs,Beta_source,borrow_fee_annual,shares_available,borrow_current,borrow_spiking,borrow_missing_from_ftp,borrow_price_ref,borrow_current_raw_annual,borrow_floor_factor,protected,borrow_leq_low,borrow_gt_low,protected_ok,protected_bad,purgatory,exclude_borrow_gt_low,exclude_no_shares,exclude_borrow_spike,vol_etf_annual,gross_decay_annual,vol_underlying_annual,expected_gross_decay_annual,blended_gross_decay,net_decay_annual,decay_score,maint_pct_long,maint_pct_short,init_pct_long,init_pct_short,borrow_annual,strategy_tag,long_usd,short_usd,sleeve
SBTU,SBET,2.024067,114,ols,0.0719559999999999,10000,0.0719559999999999,False,False,2.9100000858306885,0.0719559999999999,1.0,False,True,False,False,False,False,False,False,False,1.738386,0.850422,0.858858,0.76448,0.803359,0.778466,0.731403,0.50601675,0.6072201,0.50601675,0.6072201,0.0719559999999999,ETF_LS,9798.946597750266,-4841.216519883119,core_leveraged
CIFU,CIFR,1.984553,91,ols,0.314098,60000,0.314098,False,False,14.0600004196167,0.314098,1.0,False,True,False,False,False,False,False,False,False,2.075405,1.293284,1.115345,1.215319,1.243473,0.979186,0.929375,0.49613825,0.5953659,0.5,0.5953659,0.314098,ETF_LS,5442.566449087144,-2742.4646502699316,core_leveraged
SOLX,GSOL,1.970882,84,ols,,0,,False,True,8.575799942016602,,1.0,False,False,False,False,False,False,False,True,False,1.539817,0.768773,1.125588,1.212149,1.064357,0.768773,1.064357,0.4927205,1.0,0.5,1.0,,ETF_LS,17135.423646984313,-8694.292021026278,core_leveraged
XRPK,XRPZ,1.95712,84,ols,0.109787,400,0.109787,False,False,7.532199859619141,0.109787,1.0,False,True,False,False,False,False,False,True,False,1.608643,1.005183,0.814956,0.622046,0.749758,0.895396,0.6399710000000001,0.48928,0.587136,0.5,0.587136,0.109787,ETF_LS,7277.294834023662,-3718.3692538135942,core_leveraged
XRPT,XRPZ,2.016329,90,ols,0.078722,5000,0.078722,False,False,38.36629867553711,0.078722,1.0,False,True,False,False,False,False,False,False,False,1.586348,0.880428,0.814956,0.680509,0.751909,0.801706,0.6731870000000001,0.50408225,0.6048986999999999,0.50408225,0.6048986999999999,0.078722,ETF_LS,8708.868143683638,-4319.170206689304,core_leveraged
CHNU,CHNL,2.0,0,imputed_no_overlap,,0,,False,True,19.52239990234375,,1.0,False,False,False,False,False,False,False,True,False,,,,,,,,0.5,1.0,0.5,1.0,,ETF_LS,836.820083682008,-418.410041841004,core_leveraged
CRDX,CRDD,2.0,0,imputed_no_overlap,,0,,False,True,20.860700607299805,,1.0,False,False,False,False,False,False,False,True,False,,,,,,,,0.5,1.0,0.5,1.0,,ETF_LS,836.820083682008,-418.410041841004,core_leveraged
STLU,STLR,2.0,0,imputed_no_overlap,,0,,False,True,17.084699630737305,,1.0,False,False,False,False,False,False,False,True,False,,,,,,,,0.5,1.0,0.5,1.0,,ETF_LS,836.820083682008,-418.410041841004,core_leveraged
GMEU,GME,1.965253,238,ols,0.271536,400,0.271536,False,False,10.479999542236328,0.271536,1.0,False,True,False,False,False,False,False,True,False,0.884268,0.599166,0.442792,0.185964,0.57621,0.32763,0.304674,0.49131325,0.5895758999999999,0.5,0.5895758999999999,0.271536,ETF_LS,831.9171314806783,-423.3129940423336,core_leveraged
APPX,APP,1.986769,237,ols,0.046583,300000,0.046583,False,False,28.959999084472656,0.046583,1.0,False,True,False,False,False,False,False,False,False,1.421758,0.650281,0.822023,0.66237,0.651001,0.603698,0.604418,0.49669225,0.5960307,0.5,0.5960307,0.046583,ETF_LS,8655.466178490984,-4356.553871381618,core_leveraged
ARCX,ACHR,1.986114,206,ols,0.144114,20000,0.144114,False,False,15.5,0.144114,1.0,False,True,False,False,False,False,False,False,False,1.446005,0.68365,0.87354,0.747252,0.69526,0.539536,0.551146,0.4965285,0.5958342,0.5,0.5958342,0.144114,ETF_LS,4856.887196435534,-2445.4221643045335,core_leveraged
ASTX,ASTS,1.989835,185,ols,0.088587,35000,0.088587,False,False,44.72999954223633,0.088587,1.0,False,True,False,False,False,False,False,False,False,2.074001,1.200208,1.286683,1.630396,1.314583,1.111621,1.225996,0.49745875,0.5969504999999999,0.5,0.5969504999999999,0.088587,ETF_LS,16874.88645112173,-8480.545598565574,core_leveraged
BEX,BE,1.975979,97,ols,0.110416,50000,0.110416,False,False,16.75,0.110416,1.0,False,True,False,False,False,False,False,False,False,2.119628,1.146365,0.995538,0.955671,1.029073,1.035949,0.9186569999999998,0.49399475,0.5927937,0.5,0.5927937,0.110416,ETF_LS,11517.476551157728,-5828.744410319,core_leveraged
