etf,days_in_ledger,long_pnl_usd,short_pnl_usd,gross_trading_pnl_usd,borrow_paid_usd,borrow_underlying_usd,margin_debit_allocated_usd,short_credit_usd,net_financing_allocated_usd,txn_cost_usd,turnover_usd,rebalance_days,gross_notional_mean,gross_notional_max,net_trading_pnl_usd,flow_sleeve_alloc_max_usd,flow_sleeve_alloc_days_gt0,underlying,beta_abs,bucket_universe,incumbent_cohort,from_screener_extra,pair_weight_gtp,bucket_runtime_last
MPL,132,4791.669502258301,-2019.284948348999,2772.3845539093018,1474.587045264023,0.0,185.74920641271794,142.05650135470336,43.69270505801459,121.14403397538135,114413.66359138489,29,35256.03833249121,50051.831424713135,1132.9607696118828,0.0,0,MP,1.991,bucket_core_screener,post_start,1,0.0014789941519954921,bucket_core_screener
SNOU,258,14811.329376220703,-12089.066367149353,2722.26300907135,340.13761181377834,0.0,581.753228407902,419.017318279824,162.73591012807805,303.9594119648027,298401.90295124054,55,47252.35231176273,129668.81064605713,1915.430075164691,0.0,0,SNOW,2.014,bucket_core_screener,post_start,0,0.006959422603925605,bucket_core_screener
UNX,157,-7148.69983291626,9838.882417678833,2690.1825847625732,518.3560446268667,0.0,355.8963486770229,266.65841799321544,89.23793068380745,282.11070923546987,252386.5966205597,34,54779.80264742663,80458.6595916748,1800.4779002164291,0.0,0,U,2.008,bucket_core_screener,post_start,1,0.0070833322434270775,bucket_core_screener
QSU,132,-14608.47046661377,17158.330099105835,2549.8596324920654,930.9228793736372,0.0,158.62357996101522,117.56217913169039,41.061400829324846,121.18614732502454,90391.79066085815,29,29797.887809670334,43380.06007194519,1456.6892049640787,0.0,0,QS,2.004,bucket_core_screener,post_start,1,0.004838493213032596,bucket_core_screener
NVOX,352,-40731.69845199585,43243.77934932709,2512.080897331238,2177.4126977820524,0.0,1340.7162052950716,918.4196119986691,422.2965932964024,740.7534860926435,706158.0999851227,75,73846.4139962386,242877.99467468262,-828.3818798398609,0.0,0,NVO,2.007,bucket_core_screener,post_start,1,0.008881316755953616,bucket_core_screener
NFLU,401,26897.248832702637,-24390.805545806885,2506.443286895752,1142.227286027155,0.0,888.8173695988582,617.3806708256722,271.43669877318604,348.0647382705597,334591.2707977295,85,41498.055314009325,120881.28467559814,744.7145638248512,0.0,0,NFLX,2.001,bucket_core_screener,post_start,0,0.0036590768549160935,bucket_core_screener
ASMG,325,5011.931579589844,-2540.848098754883,2471.083480834961,1458.2831820131994,0.0,447.7992642515422,314.307102009871,133.49216224167114,200.1092519850793,199195.4704618454,69,27222.052291829037,90590.7950630188,679.1988845950111,0.0,0,ASML,1.995,bucket_core_screener,post_start,0,0.0015804535708686899,bucket_core_screener
COZX,122,16218.660766601562,-13788.161522865295,2430.499243736267,717.1755660993709,0.0,273.5405916430168,207.03445756778714,66.50613407522964,201.69452578244778,167422.1558675766,27,56182.42759371977,80348.5788860321,1445.1230177792186,0.0,0,CORZ,2.005,bucket_core_screener,post_start,1,0.005356025006738083,bucket_core_screener
HOOG,282,100262.36109924316,-97868.21773576736,2394.1433634757996,3991.0251717732062,0.0,1039.2137948737209,750.6168468122384,288.5969480614826,740.6065103341758,699530.2769179344,60,75186.71773092967,247204.07973098755,-2626.0852666930646,0.0,0,HOOD,2.002,bucket_core_screener,post_start,0,0.0017117868774595433,bucket_core_screener
TSMG,325,1168.3282318115234,1132.9544477462769,2301.2826795578003,794.6982723903819,0.0,475.2974797677104,330.32739254507356,144.9700872226368,215.13045240821546,211514.212351799,69,28805.462791357775,89464.23484802246,1146.4838675365659,0.0,0,TSM,2.004,bucket_core_screener,post_start,0,0.0036167750140465296,bucket_core_screener
