run_date,underlying,qty_b1,qty_b2,qty_b4,ledger_total,ibkr_position,diff_ledger_minus_ibkr
2026-04-21,ELIL,-61.0,0.0,0.0,-61.0,-42.0,-19.0
2026-04-21,NVDO,19.0,0.0,0.0,19.0,0.0,19.0
2026-04-21,ARMW,19.0,0.0,0.0,19.0,0.0,19.0
2026-04-21,XYLG,19.0,0.0,0.0,19.0,0.0,19.0
2026-04-21,GLWG,0.0,0.0,0.0,0.0,-19.0,19.0
2026-04-21,RBLY,18.0,0.0,0.0,18.0,0.0,18.0
2026-04-21,UBRL,-276.0,0.0,0.0,-276.0,-258.0,-18.0
2026-04-21,QQQX,18.0,0.0,0.0,18.0,0.0,18.0
2026-04-21,MSTY,18.0,0.0,0.0,18.0,0.0,18.0
2026-04-21,IREN,252.0,0.0,0.0,252.0,270.0,-18.0
2026-04-21,AVGG,-192.0,0.0,0.0,-192.0,-210.0,18.0
2026-04-21,BLSH,204.0,0.0,0.0,204.0,222.0,-18.0
2026-04-21,FBL,-159.0,0.0,0.0,-159.0,-141.0,-18.0
2026-04-21,IBX,0.0,0.0,0.0,0.0,-18.0,18.0
2026-04-21,UPST,166.0,0.0,0.0,166.0,182.0,-16.0
2026-04-21,BABX,-125.0,0.0,0.0,-125.0,-141.0,16.0
2026-04-21,DOGD,-59.0,0.0,0.0,-59.0,-75.0,16.0
2026-04-21,TSYY,-17.0,0.0,0.0,-17.0,-33.0,16.0
2026-04-21,QCMU,-244.0,0.0,0.0,-244.0,-260.0,16.0
2026-04-21,MDBX,-129.0,0.0,0.0,-129.0,-145.0,16.0
2026-04-21,TQQY,-15.0,0.0,0.0,-15.0,-31.0,16.0
2026-04-21,DKNG,28.0,0.0,0.0,28.0,43.0,-15.0
2026-04-21,EWV,-26.0,0.0,0.0,-26.0,-41.0,15.0
2026-04-21,XYZY,15.0,0.0,0.0,15.0,0.0,15.0
2026-04-21,METW,15.0,0.0,0.0,15.0,0.0,15.0
2026-04-21,PAAU,0.0,0.0,0.0,0.0,-15.0,15.0
2026-04-21,ALB,14.0,0.0,0.0,14.0,0.0,14.0
2026-04-21,IBIT,876.0,0.0,0.0,876.0,890.0,-14.0
2026-04-21,TSLY,14.0,0.0,0.0,14.0,0.0,14.0
2026-04-21,BRKU,-108.0,0.0,0.0,-108.0,-122.0,14.0
2026-04-21,RDYY,14.0,0.0,0.0,14.0,0.0,14.0
2026-04-21,TSLT,13.0,0.0,0.0,13.0,0.0,13.0
2026-04-21,CONY,13.0,0.0,0.0,13.0,0.0,13.0
2026-04-21,XYLD,13.0,0.0,0.0,13.0,0.0,13.0
2026-04-21,AMDG,-216.0,0.0,0.0,-216.0,-203.0,-13.0
2026-04-21,PYPY,13.0,0.0,0.0,13.0,0.0,13.0
2026-04-21,PLTU,-116.0,0.0,0.0,-116.0,-104.0,-12.0
2026-04-21,AMZW,12.0,0.0,0.0,12.0,0.0,12.0
2026-04-21,TEM,153.0,0.0,0.0,153.0,165.0,-12.0
2026-04-21,ETHU,-219.0,0.0,0.0,-219.0,-207.0,-12.0
2026-04-21,GOOX,-64.0,0.0,0.0,-64.0,-76.0,12.0
2026-04-21,COHX,0.0,0.0,0.0,0.0,-12.0,12.0
2026-04-21,HOOY,11.0,0.0,0.0,11.0,0.0,11.0
2026-04-21,BRKC,-85.0,0.0,0.0,-85.0,-96.0,11.0
2026-04-21,METU,11.0,0.0,0.0,11.0,0.0,11.0
2026-04-21,TSLI,-165.0,0.0,0.0,-165.0,-154.0,-11.0
2026-04-21,LMTL,11.0,0.0,0.0,11.0,0.0,11.0
2026-04-21,DNNG,-95.0,0.0,0.0,-95.0,-106.0,11.0
2026-04-21,ABNY,11.0,0.0,0.0,11.0,0.0,11.0
2026-04-21,INTW,-89.0,0.0,0.0,-89.0,-79.0,-10.0
2026-04-21,SPYI,10.0,0.0,0.0,10.0,0.0,10.0
2026-04-21,GEVX,-95.0,0.0,0.0,-95.0,-85.0,-10.0
2026-04-21,UNHG,-387.0,0.0,0.0,-387.0,-377.0,-10.0
2026-04-21,JEPQ,9.0,0.0,0.0,9.0,0.0,9.0
2026-04-21,PYPL,41.0,0.0,0.0,41.0,50.0,-9.0
2026-04-21,JEPI,9.0,0.0,0.0,9.0,0.0,9.0
2026-04-21,ASTS,114.0,0.0,0.0,114.0,123.0,-9.0
2026-04-21,CSCO,103.0,0.0,0.0,103.0,112.0,-9.0
2026-04-21,CRWV,142.0,0.0,0.0,142.0,151.0,-9.0
2026-04-21,XYZ,33.0,0.0,0.0,33.0,41.0,-8.0
2026-04-21,VRTL,-46.0,0.0,0.0,-46.0,-39.0,-7.0
2026-04-21,URTY,0.0,0.0,0.0,0.0,-6.0,6.0
2026-04-21,KLAG,-212.0,0.0,0.0,-212.0,-206.0,-6.0
2026-04-21,RBLX,126.0,0.0,0.0,126.0,132.0,-6.0
2026-04-21,XOM,55.0,0.0,0.0,55.0,61.0,-6.0
2026-04-21,XOMX,-99.0,0.0,0.0,-99.0,-105.0,6.0
2026-04-21,JNUG,0.0,0.0,0.0,0.0,-5.0,5.0
2026-04-21,BTCL,-283.0,0.0,0.0,-283.0,-278.0,-5.0
2026-04-21,NFLX,316.0,0.0,0.0,316.0,321.0,-5.0
2026-04-21,MUU,-20.0,0.0,0.0,-20.0,-25.0,5.0
