date,nav,cash,u_notional,s_notional,borrow_cost,rebalance_friction
2024-12-16,1124124.1406502638,1348949.8268141437,-112412.84308193991,-112412.84308193991,27.706450063368965,4.290169135109694
2024-12-17,1121492.2457138973,1348921.444921918,-117389.90025656014,-110039.29895146044,28.38189222580153,0.0
2024-12-18,1115381.2224795693,1348892.8347515152,-141760.31814607992,-91751.29412586603,28.610170402842147,0.0
2024-12-19,1079927.9051220126,1348860.4369806075,-185352.4740893055,-83580.05776928944,32.39777090766119,0.0
2024-12-20,1121376.890092273,1348832.4032914422,-131462.95847445185,-95992.5547247173,28.033689165167154,0.0
2024-12-23,1131856.3635321856,1348805.4087224246,-115158.80566104072,-101790.23952919837,26.99456901760611,0.0
2024-12-24,1138231.3892048842,1348779.0081516823,-103660.08736105604,-106887.53158574204,26.400570742377937,0.0
2024-12-26,1140077.0688030531,1348752.8224281583,-101943.86074911802,-106731.89287598706,26.18572352409406,0.0
2024-12-27,1137635.5457930039,1348726.4929212497,-109495.25784164527,-101595.68928660065,26.32950690852289,0.0
2024-12-30,1134257.056660266,1348699.8391700585,-114987.18299984692,-99455.59950994563,26.653751191233198,0.0
2024-12-31,1133253.3815402898,1348673.0938028563,-116703.40961178494,-98716.3026507815,26.745367202209565,0.0
2025-01-02,1131021.0718140893,1348646.1563141274,-121165.59880282378,-96459.48569721424,26.937488728942576,0.0
2025-01-03,1138066.748139059,1348619.8922807034,-109152.01251925768,-101401.1316223869,26.264033423983108,0.0
2025-01-06,1138893.7867892215,1348593.6942498176,-107092.54058493205,-102607.36687566404,26.19803088570481,0.0
2025-01-07,1133165.3833979962,1300131.2400567054,-69422.40183598112,-97543.45482272809,26.678599229406608,30.577351093346785
2025-01-08,1133231.7579932138,1300109.9817453849,-68822.20816016571,-98056.0155920054,21.25831132060037,0.0
2025-01-10,1130394.6189094791,1300088.5657877016,-78025.17785600183,-91668.76902222086,21.415957683259983,0.0
2025-01-13,1131202.7795981509,1300067.1940327235,-75224.27403552998,-93640.14039904282,21.371754977999352,0.0
2025-01-14,1132799.870623783,1290676.7686815478,-64011.07902643808,-93865.81903132684,21.228167207365708,5.618147421927782
2025-01-15,1135389.0332732212,1290656.7341318743,-53822.651118577916,-101445.04974007513,20.034549673604047,0.0
2025-01-16,1135826.8058054433,1290636.7550569526,-53520.37440821628,-101289.5748432931,19.979074921649257,0.0
2025-01-17,1135895.3113485132,1290616.8014983502,-54053.80006676993,-100667.69008306721,19.95355860229642,0.0
2025-01-21,1135923.7340294174,1363117.1885125912,-113596.72724158692,-113596.72724158691,20.052018891904588,43.53838645175088
2025-01-22,1134069.9362257768,1363088.5763947961,-116935.41738517048,-112083.2227838488,28.612117794993633,0.0
2025-01-23,1136801.9129702104,1363060.2364716297,-112619.55357835966,-113638.76992305981,28.339923166490436,0.0
2025-01-24,1137498.5740320173,1363031.9719402252,-111642.37991513238,-113891.01799307564,28.264531404561446,0.0
2025-01-27,1129612.1050570677,1363002.9837439244,-125974.28930181934,-107416.58938503732,28.98819630092248,0.0
2025-01-28,1136068.7294964972,1362974.6706844359,-117261.13779776715,-109644.8033901716,28.313059488474373,0.0
2025-01-29,1136334.33053714,1362946.3655227025,-115958.23129650594,-110653.80368905648,28.305161733456462,0.0
2025-01-30,1136718.5228653734,1362918.1110471368,-115713.94719977707,-110485.64098198645,28.254475565669043,0.0
2025-01-31,1133022.7476796103,1362889.5378777534,-123164.91036050195,-106701.87983764116,28.57316938335081,0.0
2025-02-03,1129633.3963312719,1362860.633288168,-128417.22967260615,-104810.00728429008,28.90458958518603,0.0
2025-02-04,1133984.1769858205,1362832.1434071974,-120884.83019601347,-107963.13622536344,28.489880970582913,0.0
2025-02-05,1137566.0966402243,1362804.0172799102,-115551.07456804147,-109686.8460716445,28.12612728737477,0.0
2025-02-06,1138076.196240227,1362775.9265808077,-114003.88397005139,-110695.84637052938,28.090699102408053,0.0
2025-02-07,1134209.7270736005,1362747.4916289677,-121373.42324034574,-107164.34131502149,28.43495183990899,0.0
2025-02-10,1137554.2995573299,1365065.8136825988,-113755.75706263453,-113755.75706263453,28.121752595264574,3.271069015558844
2025-02-11,1137238.1137807213,1365037.308064532,-114478.77600778546,-113320.41827602511,28.50561806666341,0.0
2025-02-12,1137855.6154913716,1365008.8698011404,-113615.166640439,-113538.08766932982,28.438263391723062,0.0
2025-02-13,1139386.311643059,1364980.559347263,-110140.6378202834,-115453.60988392064,28.310453877254346,0.0
