date,ratio,rho,gross_frac,sleeve_equity,base_equity,put_mtm,put_cash_cum,realized_cum,redeploy_extra,combined_equity,combined_ret,drawdown
2026-03-05,0.9953897482171966,1.961581235143305,0.07499443943137034,1147621.0805611543,1319240.9315488352,30139.235060295003,-41536.885342719004,48336.0,2543.07717130761,1310386.3584377188,-0.004007785736637515,-0.01564946984689486
2026-03-06,1.0700290400063615,2.0,0.06999999999999999,1126059.774305753,1294630.8426925733,45330.481937274875,-41536.885342719004,48336.0,1920.618930117198,1300345.0582172463,-0.007662854665584362,-0.02319240489944896
2026-03-09,1.0063141218014464,2.0,0.06999999999999999,1149253.1310106283,1321473.993697054,33094.42457540416,-41536.885342719004,48336.0,2596.4232803009363,1315627.9562100403,0.011752955799091191,-0.011712028410015618
2026-03-10,0.9772638213052859,1.8105318442107157,0.09463086025260697,1140343.4019918009,1311433.2507692906,31787.65982713018,-41536.885342719004,48336.0,2340.968334971374,1304024.9935886732,-0.00881933419444203,-0.020428070311814928
2026-03-11,0.97036444567612,1.753037047301,0.10210518385086997,1140936.0376154257,1312317.5303920896,30251.188041791618,-41536.885342719004,48336.0,2361.162490533854,1303392.995581696,-0.0004846517590417765,-0.02090282157064627
2026-03-12,1.0126159607778358,2.0,0.06999999999999999,1140698.285823624,1312252.317658711,37993.11005357894,-41536.885342719004,48336.0,2357.2689312024886,1311065.8113007734,0.005886801406089326,-0.015139070923970155
2026-03-13,0.9967008742550381,1.9725072854586505,0.07357405289037544,1140858.0476137283,1312644.3839303502,38052.13404160303,-41536.885342719004,48336.0,2364.907125439291,1311524.5397546734,0.00034988972326632783,-0.014794478206039963
2026-03-16,0.9434189469062875,1.5284912242190623,0.13129614085152191,1140835.2519843064,1312812.7296021369,29033.825756240094,-41536.885342719004,48336.0,2367.2501298440766,1302676.920145502,-0.006746057234145453,-0.021440731043458117
2026-03-17,0.9194410566946644,1.3286754724555363,0.1572721885807803,1141530.6706606643,1313807.7374209051,27039.97181621664,-41536.885342719004,48336.0,2390.427909421647,1301701.2518038244,-0.0007489718491126007,-0.022173644388594815
2026-03-18,0.9446536391975664,1.5387803266463866,0.12995855753596972,1139498.85462528,1311663.7408984792,31984.40543556756,-41536.885342719004,48336.0,2334.4934305959177,1304445.7544219235,0.0021083966957056166,-0.020111998531449737
2026-03-19,0.9420516289533422,1.517096907944518,0.13277740196721266,1140886.2784379711,1313454.8859932395,30038.73365564745,-41536.885342719004,48336.0,2377.746211635611,1304334.4805178035,-8.530358870262322e-05,-0.020195586494501705
2026-03-20,0.9763033317062113,1.8025277642184276,0.09567139065160442,1139048.0777430765,1311532.5990481987,36902.93486100025,-41536.885342719004,48336.0,2327.4292337121587,1309226.077800192,0.0037502629543662014,-0.016521062300007494
2026-03-23,1.001915679552865,2.0,0.06999999999999999,1141895.8885209744,1315005.960133621,33400.77535064197,-41536.885342719004,48336.0,2413.04655970521,1309282.896701249,4.339884609727562e-05,-0.016478380448950225
2026-03-24,1.0146837840677356,2.0,0.06999999999999999,1141096.7077497316,1314294.3028320444,35032.66902311864,-41536.885342719004,48336.0,2392.870934614235,1310182.9574470583,0.0006874455842025284,-0.01580226285462205
2026-03-25,0.9882949962199072,1.9024583018325605,0.08268042076176714,1140958.7480814783,1314343.9418359124,30770.65473562201,-41536.885342719004,48336.0,2391.8768024330057,1305969.5880312484,-0.003215863396681451,-0.018967308332604627
2026-03-26,1.010309303689933,2.0,0.06999999999999999,1141255.3992048893,1314894.2472132873,21950.0,-26789.579045133643,48336.0,2403.4905560648695,1312458.1587242184,0.004968393408572025,-0.014093151973730622
2026-03-27,1.0608130765787105,2.0,0.06999999999999999,1141210.8830912446,1315051.6118953028,21950.0,-26789.579045133643,48336.0,2405.2081003814674,1312617.2409505507,0.00012120936981863117,-0.013973650825981565
2026-03-30,1.0508067796849883,2.0,0.06999999999999999,1141262.2189620899,1315319.4538702057,21950.0,-26789.579045133643,48336.0,2409.706672784101,1312889.5814978562,0.00020747902648943217,-0.013769071038962077
2026-03-31,0.988258346535471,1.9021528877955913,0.08272012458657313,1141423.1807482117,1315713.728937964,21950.0,-26789.579045133643,48336.0,2417.385833335604,1313291.5357261659,0.0003061599649920588,-0.013467126612277447
2026-04-01,0.9871279289232611,1.8927327410271757,0.08394474366646716,1141091.448725051,1315537.003215118,21950.0,-26789.579045133643,48336.0,2410.7732383214825,1313108.197408306,-0.00013960214687480654,-0.01360484871936496
2026-04-02,0.9656149475027737,1.7134578958564473,0.10725047353866186,1141000.0335962835,1315637.2286114162,21950.0,-26789.579045133643,48336.0,2411.1323704998504,1313208.7819367824,7.66003355054945e-05,-0.013529290519835868
2026-04-06,0.9757771348251361,1.798142790209467,0.09624143727276926,1141097.8132260651,1315952.8619276956,21950.0,-26789.579045133643,48336.0,2416.98025754861,1313530.2631401105,0.0002448058585582391,-0.013287796710859112
2026-04-07,1.0082127882020975,2.0,0.06999999999999999,1140965.357437195,1316003.0201741576,21950.0,-26789.579045133643,48336.0,2416.1498926349886,1313579.5910216589,3.7553669627987674e-05,-0.013250742046758912
2026-04-08,0.927689622240694,1.3974135186724497,0.14833624257258157,1142504.897261063,1317969.988924485,21950.0,-26789.579045133643,48336.0,2463.821993356418,1315594.2318727076,0.0015337029174469219,-0.011737361831047344
2026-04-09,0.8936267880956605,1.1135565674638377,0.1852376462297011,1143977.1168706992,1319860.178599138,21950.0,-26789.579045133643,48336.0,2509.5417550347775,1317530.1413090392,0.0014715095197521677,-0.010283123950966422
