etf,n_panel,n_big50,worst_abs_ret,worst_date,yahoo_ov,scale_bad_days,phantom_days,max_abs_ratio_m1,scale_mode,issue
STXX,49,0,0.2540983858356134,2026-06-26,49,0,0,4.846158163651637e-08,,
TARK,1047,0,0.3269513628578262,2025-04-09,1047,0,0,5.088310997547474e-06,,
TEMT,287,0,0.3802521016420638,2025-05-28,287,155,0,0.26644514394579755,med=1.266,scale_bad=155;mode=med=1.266
TERG,144,0,0.38560659019958143,2026-04-29,144,0,0,9.23506404293395e-06,,
TMYY,41,0,0.04122073036258678,2026-06-05,41,0,0,0.03484411788069264,,
TQQQ,4119,0,0.3524421471725805,2025-04-09,4119,0,0,0.0023032195863077476,,
TSLG,380,0,0.45535712737376244,2025-04-09,380,0,0,1.3922252906084509e-08,,
TSLI,205,0,0.16302506148362217,2026-06-29,205,0,0,0.004720548102030708,,
TSLL,975,0,0.45213520826944364,2025-04-09,975,0,0,0.00920896307332153,,
TSLR,711,0,0.4526022102199496,2025-04-09,711,0,0,3.324354813649677e-08,,
TSLT,672,0,0.45209901254158713,2025-04-09,672,0,0,1.9714197274645073e-08,,
TSMG,363,0,0.2650255213564129,2025-01-27,363,0,0,0.0,,
TSMU,403,0,0.2636941671439268,2025-01-27,403,0,0,0.0780985680549392,,
TSMX,433,0,0.26297108014385917,2025-01-27,433,0,0,0.07106120561042961,,
TTDU,194,0,0.3676011882603585,2026-03-05,194,0,0,3.373124690675411e-08,,
TXNU,53,0,0.4158668582272318,2026-04-23,53,0,0,0.002617403993246059,,
TXXD,102,0,0.2996831741542494,2026-02-05,102,0,0,4.5402769590641157e-05,,
TXXS,81,1,0.5495382081217608,2026-05-11,81,0,0,1.6163971161553548e-08,,jumps=1@2026-05-11
UBRL,456,0,0.2294799248670656,2025-04-09,456,0,0,1.2945732444702429e-05,,
UECG,85,0,0.3457171901820554,2026-06-08,85,0,0,0.0006459741081974446,,
UNHG,235,0,0.39072493786120543,2026-01-27,235,0,0,0.024368710725981457,,
