symbol,underlying,realized_pnl,fifo_realized,commissions,n_trades,unrealized_pnl,position,markPrice,positionValue,subCategory,cash_pnl,dividends,borrow_fees,taxes,corp_actions,n_cash_rows,net_pnl
MAAY,MARA,0.0,0.0,0.0,0.0,226.523646,-206.0,12.8019,-2637.19,ETF,0.0,0.0,0.0,0.0,0.0,0.0,226.523646
MARA,MARA,0.0,0.0,0.0,0.0,-666.464136,908.0,9.86,8952.88,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-666.464136
MARO,MARA,0.0,0.0,0.0,0.0,298.700261,-525.0,7.38,-3874.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,298.700261
MDB,MDB,0.0,0.0,0.0,0.0,-320.412314,14.0,374.02,5236.28,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-320.412314
MDBX,MDB,0.0,0.0,0.0,0.0,347.400106,-44.0,53.94,-2373.36,ETF,0.0,0.0,0.0,0.0,0.0,0.0,347.400106
META,META,0.0,0.0,0.0,0.0,1365.126143,18.0,738.31,13289.58,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1365.126143
MSFL,MSFT,0.0,0.0,0.0,0.0,420.455371,-117.0,21.3,-2492.1,ETF,0.0,0.0,0.0,0.0,0.0,0.0,420.455371
MSFO,MSFT,0.0,0.0,0.0,0.0,281.250332,-281.0,13.85,-3891.85,ETF,0.0,0.0,0.0,0.0,0.0,0.0,281.250332
MSFT,MSFT,0.0,0.0,0.0,0.0,-1520.030476,46.0,433.5,19941.0,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-1520.030476
MSFU,MSFT,0.0,0.0,0.0,0.0,201.173116,-31.0,32.45,-1005.95,ETF,0.0,0.0,0.0,0.0,0.0,0.0,201.173116
MSFW,MSFT,0.0,0.0,0.0,0.0,420.633104,-111.0,33.65,-3735.15,ETF,0.0,0.0,0.0,0.0,0.0,0.0,420.633104
MSFX,MSFT,0.0,0.0,0.0,0.0,439.745494,-109.0,21.44,-2336.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,439.745494
MSOO,MSTR,0.0,0.0,0.0,0.0,124.450243,-100.0,7.1932,-719.32,ETF,0.0,0.0,0.0,0.0,0.0,0.0,124.450243
MSTR,MSTR,0.0,0.0,0.0,0.0,-1034.200946,45.0,143.19,6443.55,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-1034.200946
MSTW,MSTR,0.0,0.0,0.0,0.0,643.756188,-404.0,8.53,-3446.12,ETF,0.0,0.0,0.0,0.0,0.0,0.0,643.756188
MTYY,MSTR,0.0,0.0,0.0,0.0,61.700243,-100.0,7.3004,-730.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,61.700243
MU,MU,0.0,0.0,0.0,0.0,1028.763372,13.0,435.79,5665.27,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1028.763372
MUU,MU,0.0,0.0,0.0,0.0,-1026.972171,-14.0,224.11,-3137.54,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-1026.972171
NFLU,NFLX,0.0,0.0,0.0,0.0,290.427611,-104.0,25.16,-2616.64,ETF,0.0,0.0,0.0,0.0,0.0,0.0,290.427611
NFLW,NFLX,0.0,0.0,0.0,0.0,307.765528,-173.0,23.0,-3979.0,ETF,0.0,0.0,0.0,0.0,0.0,0.0,307.765528
NFLX,NFLX,0.0,0.0,0.0,0.0,-858.297156,209.0,83.16,17380.44,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-858.297156
NFLY,NFLX,0.0,0.0,0.0,0.0,225.865436,-380.0,10.61,-4031.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,225.865436
NFXL,NFLX,0.0,0.0,0.0,0.0,242.540786,-79.0,23.77,-1877.83,ETF,0.0,0.0,0.0,0.0,0.0,0.0,242.540786
NVDA,NVDA,0.0,0.0,0.0,0.0,1169.659363,181.0,192.51,34844.31,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,1169.659363
NVDB,NVDA,0.0,0.0,0.0,0.0,-153.112167,-98.0,29.51,-2891.98,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-153.112167
NVDG,NVDA,0.0,0.0,0.0,0.0,-166.064423,-165.0,17.67,-2915.55,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-166.064423
NVDL,NVDA,0.0,0.0,0.0,0.0,-208.550559,-31.0,92.47,-2866.57,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-208.550559
NVDO,NVDA,0.0,0.0,0.0,0.0,-75.307315,-61.0,19.9498,-1216.94,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-75.307315
NVDU,NVDA,0.0,0.0,0.0,0.0,-152.630126,-23.0,123.58,-2842.34,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-152.630126
NVDY,NVDA,0.0,0.0,0.0,0.0,-54.188514,-287.0,14.67,-4210.29,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-54.188514
NVYY,NVDA,0.0,0.0,0.0,0.0,-51.787239,-155.0,18.2265,-2825.11,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-51.787239
OPEG,OPEN,0.0,0.0,0.0,0.0,456.367116,-277.0,8.4919,-2352.26,ETF,0.0,0.0,0.0,0.0,0.0,0.0,456.367116
OPEN,OPEN,0.0,0.0,0.0,0.0,-434.629905,921.0,5.58,5139.18,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-434.629905
PALU,PANW,0.0,0.0,0.0,0.0,217.661835,-163.0,16.1267,-2628.65,ETF,0.0,0.0,0.0,0.0,0.0,0.0,217.661835
PANG,PANW,0.0,0.0,0.0,0.0,211.653461,-264.0,9.9145,-2617.43,ETF,0.0,0.0,0.0,0.0,0.0,0.0,211.653461
PANW,PANW,0.0,0.0,0.0,0.0,-403.85999,61.0,176.2,10748.2,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-403.85999
PLTA,PLTR,0.0,0.0,0.0,0.0,638.369626,-108.0,20.35,-2197.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,638.369626
PLTR,PLTR,0.0,0.0,0.0,0.0,-2154.500337,102.0,151.86,15489.72,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-2154.500337
PLTU,PLTR,0.0,0.0,0.0,0.0,323.603825,-16.0,52.19,-835.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,323.603825
PLTW,PLTR,0.0,0.0,0.0,0.0,698.974988,-122.0,29.36,-3581.92,ETF,0.0,0.0,0.0,0.0,0.0,0.0,698.974988
PTIR,PLTR,0.0,0.0,0.0,0.0,646.184061,-115.0,19.1,-2196.5,ETF,0.0,0.0,0.0,0.0,0.0,0.0,646.184061
PYPL,PYPL,0.0,0.0,0.0,0.0,-304.669828,73.0,53.11,3877.03,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-304.669828
PYPY,PYPL,0.0,0.0,0.0,0.0,315.896274,-105.0,36.76,-3859.8,ETF,0.0,0.0,0.0,0.0,0.0,0.0,315.896274
QCMU,QCOM,0.0,0.0,0.0,0.0,310.023379,-126.0,21.0638,-2654.04,ETF,0.0,0.0,0.0,0.0,0.0,0.0,310.023379
QCOM,QCOM,0.0,0.0,0.0,0.0,-313.801128,36.0,152.22,5479.92,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-313.801128
QQQ,QQQ,0.0,0.0,0.0,0.0,315.098135,36.0,629.43,22659.48,ETF,0.0,0.0,0.0,0.0,0.0,0.0,315.098135
QQQX,QQQ,0.0,0.0,0.0,0.0,16.058924,-146.0,28.26,-4125.96,CLOSED-END FUND,0.0,0.0,0.0,0.0,0.0,0.0,16.058924
QYLD,QQQ,0.0,0.0,0.0,0.0,-19.623481,-234.0,17.85,-4176.9,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-19.623481
QYLG,QQQ,0.0,0.0,0.0,0.0,-35.242622,-151.0,27.695,-4181.95,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-35.242622
RBLX,RBLX,0.0,0.0,0.0,0.0,-34.499028,56.0,75.73,4240.88,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-34.499028
RBLY,RBLX,0.0,0.0,0.0,0.0,120.178006,-165.0,25.6422,-4230.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,120.178006
RDDT,RDDT,0.0,0.0,0.0,0.0,-395.575171,7.0,190.05,1330.35,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-395.575171
RDYY,RDDT,0.0,0.0,0.0,0.0,429.680255,-44.0,29.54,-1299.76,ETF,0.0,0.0,0.0,0.0,0.0,0.0,429.680255
SNAG,SNAP,0.0,0.0,0.0,0.0,11.512953,-2.0,13.5226,-27.05,ETF,0.0,0.0,0.0,0.0,0.0,0.0,11.512953
SNAP,SNAP,0.0,0.0,0.0,0.0,-11.23294,8.0,7.24,57.92,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-11.23294
SNOU,SNOW,0.0,0.0,0.0,0.0,379.727194,-73.0,33.32,-2432.36,ETF,0.0,0.0,0.0,0.0,0.0,0.0,379.727194
SNOW,SNOW,0.0,0.0,0.0,0.0,-584.150999,46.0,199.37,9171.02,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-584.150999
SNOY,SNOW,0.0,0.0,0.0,0.0,248.340795,-366.0,10.84,-3967.44,ETF,0.0,0.0,0.0,0.0,0.0,0.0,248.340795
SOEZ,SOEZ,0.0,0.0,0.0,0.0,-780.152863,251.0,20.06,5035.06,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-780.152863
SOLT,SOEZ,0.0,0.0,0.0,0.0,805.110635,-426.0,5.38,-2291.88,ETF,0.0,0.0,0.0,0.0,0.0,0.0,805.110635
SPY,SPY,0.0,0.0,0.0,0.0,115.223639,24.0,694.04,16656.96,ETF,0.0,0.0,0.0,0.0,0.0,0.0,115.223639
SPYI,SPY,0.0,0.0,0.0,0.0,-13.323343,-79.0,52.82,-4172.78,ETF,0.0,0.0,0.0,0.0,0.0,0.0,-13.323343
TEM,TEM,0.0,0.0,0.0,0.0,-163.853628,84.0,63.51,5334.84,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,-163.853628
TEMT,TEM,0.0,0.0,0.0,0.0,178.918522,-201.0,12.78,-2568.78,ETF,0.0,0.0,0.0,0.0,0.0,0.0,178.918522
TER,TER,0.0,0.0,0.0,0.0,561.334686,24.0,251.87,6044.88,COMMON,0.0,0.0,0.0,0.0,0.0,0.0,561.334686
