symbol,target_net_usd,actual_net_usd,discrepancy_usd,abs_discrepancy_usd,target_gross_usd,actual_gross_usd,gross_gap_usd,under_exposed
DKNX,-529.4668299420225,-847.0108,-317.5439700579775,317.5439700579775,529.4668299420225,847.0108,317.5439700579775,False
VRTL,-795.7666216809275,-1109.6399999999999,-313.87337831907234,313.87337831907234,795.7666216809275,1109.6399999999999,313.87337831907234,False
AAPB,-48.79317273575192,-361.577,-312.7838272642481,312.7838272642481,48.79317273575192,361.577,312.7838272642481,False
NVOX,-371.2293788682454,-681.72,-310.4906211317546,310.4906211317546,371.2293788682454,681.72,310.4906211317546,False
NFLU,-40.84093551072864,-346.8,-305.9590644892714,305.9590644892714,40.84093551072864,346.8,305.9590644892714,False
CRWL,-0.5676049855953181,-304.18739999999997,-303.61979501440464,303.61979501440464,0.5676049855953181,304.18739999999997,303.61979501440464,False
LMNX,-852.2398381826434,-1151.7668,-299.52696181735666,299.52696181735666,852.2398381826434,1151.7668,299.52696181735666,False
DUOG,-1822.7729707036635,-2121.7284,-298.95542929633643,298.95542929633643,1822.7729707036635,2121.7284,298.95542929633643,False
IREX,-7967.490026666656,-7668.959999999999,298.53002666665725,298.53002666665725,7967.490026666656,7668.959999999999,-298.53002666665725,True
XXRP,-2226.8052921531407,-1931.5400000000002,295.26529215314054,295.26529215314054,2226.8052921531407,1931.5400000000002,-295.26529215314054,True
LINT,-503.79630028683226,-797.76,-293.9636997131677,293.9636997131677,503.79630028683226,797.76,293.9636997131677,False
TSLT,-158.36365612499273,-448.56000000000006,-290.1963438750073,290.1963438750073,158.36365612499273,448.56000000000006,290.1963438750073,False
SPOG,-343.5111495222943,-633.1487999999999,-289.6376504777056,289.6376504777056,343.5111495222943,633.1487999999999,289.6376504777056,False
TQQQ,-289.1366114394685,-578.06,-288.92338856053146,288.92338856053146,289.1366114394685,578.06,288.92338856053146,False
TXXS,-2972.601795541877,-3255.4905,-282.8887044581229,282.8887044581229,2972.601795541877,3255.4905,282.8887044581229,False
OPEX,-876.4603509213296,-1152.75,-276.28964907867044,276.28964907867044,876.4603509213296,1152.75,276.28964907867044,False
MSFX,-29.63905932797053,-300.72,-271.0809406720295,271.0809406720295,29.63905932797053,300.72,271.0809406720295,False
TSLR,-241.0782661829749,-504.9,-263.8217338170251,263.8217338170251,241.0782661829749,504.9,263.8217338170251,False
MSFU,-52.276133599661854,-304.5,-252.22386640033815,252.22386640033815,52.276133599661854,304.5,252.22386640033815,False
ANEL,-777.5437280366442,-1027.8,-250.25627196335574,250.25627196335574,777.5437280366442,1027.8,250.25627196335574,False
PLTA,-470.79761489006006,-227.04000000000002,243.75761489006004,243.75761489006004,470.79761489006006,227.04000000000002,-243.75761489006004,True
CRMG,-307.3168755279426,-548.1,-240.7831244720574,240.7831244720574,307.3168755279426,548.1,240.7831244720574,False
SOFX,-598.2939207481456,-838.38,-240.08607925185436,240.08607925185436,598.2939207481456,838.38,240.08607925185436,False
TARK,-350.48283873608085,-589.4200000000001,-238.93716126391922,238.93716126391922,350.48283873608085,589.4200000000001,238.93716126391922,False
ARMG,-2010.8667832023136,-2244.9,-234.03321679768646,234.03321679768646,2010.8667832023136,2244.9,234.03321679768646,False
