underlying,realized_pnl,unrealized_pnl,dividends,withholding_tax,pil_dividends,borrow_fees,short_credit_interest,other_fees,bond_interest,total_pnl
PYPL,900.2662167999999,-871.0435560000001,0.0,0.0,-91.03,-29.82,2.502285434198844,0.0,0.0,-89.12505376580111
UPST,254.04005774999996,-297.194396,0.0,0.0,0.0,-52.29,5.4596703929392,0.0,0.0,-89.98466785706083
IONQ,0.0,688.3065820000002,0.0,0.0,-722.3,-151.67,92.19321142269857,0.0,0.0,-93.47020657730127
GRAB,0.0,-26.603424999999987,0.0,0.0,0.0,-74.69,4.491289563823351,0.0,0.0,-96.80213543617663
AXON,79.130777,-170.746464,0.0,0.0,0.0,-6.18,0.0,0.0,0.0,-97.79568700000002
GDXJ,-31.433606000000005,-58.560040000000015,0.0,0.0,-5.98,-6.63,1.7916588777401659,0.0,0.0,-100.81198712225984
OSCR,-57.69019476,0.06058199999995395,0.0,0.0,0.0,-54.15,7.2743245544599695,0.0,0.0,-104.50528820554007
RBLX,751.0320812900001,-642.3393120000003,0.0,0.0,-167.32,-58.36,6.398198381259163,0.0,0.0,-110.58903232874127
ALAB,2.4e-07,-89.21860800000013,0.0,0.0,0.0,-56.27,23.484084974236485,0.0,0.0,-122.00452278576358
CVNA,22.69860089000008,16.155704,0.0,0.0,-140.7,-28.200000000000003,3.295710642027271,0.0,0.0,-126.74998446797281
XLE,-93.72269224999997,0.0,61.63,0.0,-25.87,-75.62,0.0,0.0,0.0,-133.58269224999998
XLK,-138.532917,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,-138.632917
CRCL,0.0,-50.84639299999981,0.0,0.0,0.0,-112.0,23.902278728972085,0.0,0.0,-138.9441142710275
NFLX,-1837.45741766,2294.772789,0.0,0.0,-461.23,-165.55,28.960791805116795,0.0,0.0,-140.50383685488305
QCOM,-11.54169324,-164.90629999999987,52.51,0.0,-31.66,-36.53,13.801468452245876,0.0,0.0,-178.32652478775412
ASML,47.90076473000005,-173.747866,0.0,0.0,-9.29,-71.21000000000001,8.819443512040895,0.0,0.0,-197.52765775795905
SNDK,-75.86916799000028,-107.23710100000017,0.0,0.0,0.0,-39.84,16.233576265935014,0.0,0.0,-206.71269272406516
CNC,73.47769074999997,-295.2242570000003,0.0,0.0,0.0,-12.56,13.105612018589351,0.0,0.0,-221.20095423141083
BE,0.0,-214.83721999999943,0.0,0.0,0.0,-40.73,17.71301115888519,0.0,0.0,-237.8542088411141
AMD,927.33672567,-990.7948450000004,0.0,0.0,-148.62,-162.18,70.9731166606796,0.0,0.0,-303.2850026693195
DKNG,305.50381485,-503.295479,0.0,0.0,-73.49,-37.25,2.5157465646362573,0.0,0.0,-306.0159175853637
DASH,-301.85229642,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,-319.85229642
QUBT,0.0,-177.48116200000004,0.0,0.0,0.0,-173.43,22.1796252397732,0.0,0.0,-328.73153676022685
PAAS,-352.70952705,0.0,0.0,0.0,0.0,-6.31,0.0,0.0,0.0,-359.01952705
CRDO,3.9e-07,-324.2172009999995,0.0,0.0,0.0,-75.05,15.904765198791816,0.0,0.0,-383.3624354112071
IBIT,53.86837259,2068.689234,-0.33999999999999997,0.0,-2319.64,-267.47,56.16499400554879,0.0,0.0,-408.72739940445155
QQQ,-399.3664826699999,-2.377102999999977,0.0,0.0,-59.99,-18.9,3.103484136405053,0.0,0.0,-477.5301015335949
NBIS,-50.607662499999996,-386.6422769999999,0.0,0.0,0.0,-103.78999999999999,32.13832192752736,0.0,0.0,-508.9016175724728
CLSK,-618.37814002,98.46695199999999,0.0,0.0,0.0,-56.07,9.598391655059274,0.0,0.0,-566.3827963649408
AMZN,-1.2408710900000983,-300.159224,0.0,0.0,-222.44,-130.36,26.225759713587173,0.0,0.0,-627.9743353764129
INTC,-33.50780248,-633.3795609999997,0.0,0.0,0.0,-66.89,33.47409979274706,0.0,0.0,-700.3032636872522
EOSE,2113.8811706700008,-2935.832206,0.0,0.0,0.0,-74.84,9.7545915648519,0.0,0.0,-887.0364437651479
AAOI,-754.2695313500008,0.0,0.0,0.0,0.0,-139.81,0.0,0.0,0.0,-894.0795313500003
NVTS,0.0,-1130.7677559999993,0.0,0.0,0.0,-300.86,53.20663218683476,0.0,0.0,-1378.4211238131666
